variant,label,n_features,rul_rmse,rul_mae,classification_accuracy,classification_f1_macro,anomaly_precision,anomaly_recall,anomaly_f1
variant1,Variant 1 - Mechanical Only (A1),7,27.77331915147708,24.13591500425708,0.822401614530777,0.6179401993355481,0.9236947791164659,1.0,0.9603340292275574
variant2,Variant 2 - Mechanical + Water Quality (A1 + A2),12,27.882345234663063,24.23126602209118,0.9757820383451059,0.9705402490386129,0.8926261319534282,1.0,0.9432672590567327
variant3,Variant 3 - Fully Fused (A1 + A2 + Weather + Component B features),23,27.50490668331639,23.58565470953902,0.9505549949545913,0.949400039948619,0.8734177215189873,1.0,0.9324324324324325
